timestamp,open,high,low,close,volume
2022-11-10,10.0000,10.0000,9.9900,9.9900,9664
2022-11-09,9.9900,10.0000,9.9900,9.9950,20938
2022-11-08,9.9800,10.0000,9.9800,10.0000,59331
2022-11-07,9.9800,9.9900,9.9800,9.9850,18730
2022-11-04,9.9700,9.9850,9.9700,9.9800,98279
2022-11-03,9.9700,9.9778,9.9600,9.9700,31232
2022-11-02,9.9700,9.9800,9.9700,9.9700,19388
2022-11-01,9.9700,9.9750,9.9700,9.9700,131466
2022-10-31,9.9700,9.9779,9.9700,9.9700,22577
2022-10-28,9.9700,9.9800,9.9700,9.9800,40616
2022-10-27,9.9700,9.9800,9.9700,9.9700,15433
2022-10-26,9.9800,9.9800,9.9700,9.9750,8015
2022-10-25,9.9600,9.9700,9.9600,9.9700,41014
2022-10-24,9.9600,9.9650,9.9600,9.9600,16490
2022-10-21,9.9400,9.9600,9.9400,9.9600,103128
2022-10-20,9.9400,9.9575,9.9400,9.9450,2101
2022-10-19,9.9400,9.9550,9.9400,9.9500,9223
2022-10-18,9.9800,9.9800,9.9500,9.9500,129453
2022-10-17,9.9400,9.9500,9.9400,9.9500,11610
2022-10-14,9.9400,9.9450,9.9400,9.9400,50406
2022-10-13,9.9300,9.9500,9.9300,9.9400,86551
2022-10-12,9.9400,9.9600,9.9400,9.9500,12905
2022-10-11,9.9400,9.9600,9.9300,9.9600,253033
2022-10-10,9.9500,9.9550,9.9400,9.9400,33583
2022-10-07,9.9300,9.9500,9.9300,9.9500,49374
2022-10-06,9.9500,9.9500,9.9300,9.9300,539411
2022-10-05,9.9500,9.9500,9.9400,9.9500,416915
2022-10-04,9.9400,9.9500,9.9250,9.9400,1812826
2022-10-03,9.9300,9.9400,9.9300,9.9400,294860
2022-09-30,9.9100,9.9300,9.9100,9.9300,24009
2022-09-29,9.9200,9.9300,9.9100,9.9100,1763638
2022-09-28,9.9400,9.9400,9.9200,9.9250,17055
2022-09-27,9.9400,9.9400,9.9200,9.9250,114036
2022-09-26,9.9200,9.9300,9.9100,9.9200,425413
2022-09-23,9.9400,9.9400,9.9125,9.9200,445066
2022-09-22,9.9300,9.9500,9.9300,9.9400,595196
2022-09-21,9.9300,9.9400,9.9300,9.9400,380875
2022-09-20,9.9300,9.9400,9.9250,9.9300,221022
2022-09-19,9.9300,9.9400,9.9200,9.9300,2520461
2022-09-16,9.9300,9.9300,9.9200,9.9300,73565
2022-09-15,9.9100,9.9400,9.9100,9.9300,183382
2022-09-14,9.9200,9.9300,9.9200,9.9200,29080
2022-09-13,9.9100,9.9300,9.9100,9.9300,1341093
2022-09-12,9.9100,9.9200,9.9050,9.9100,1257631
2022-09-09,9.9100,9.9200,9.9100,9.9100,53315
2022-09-08,9.9100,9.9200,9.9050,9.9200,407242
2022-09-07,9.9100,9.9200,9.9100,9.9200,127642
2022-09-06,9.9000,9.9100,9.9000,9.9000,79276
2022-09-02,9.8900,9.9000,9.8900,9.9000,13809
2022-09-01,9.8900,9.9091,9.8900,9.8900,87004
2022-08-31,9.9000,9.9100,9.8900,9.9100,319077
2022-08-30,9.9100,9.9100,9.8900,9.9100,104102
2022-08-29,9.9100,9.9150,9.8900,9.9000,592023
2022-08-26,9.8900,9.9100,9.8900,9.9100,104706
2022-08-25,9.8900,9.9000,9.8800,9.9000,221564
2022-08-24,9.8700,9.8850,9.8700,9.8700,628654
2022-08-23,9.8700,9.8800,9.8700,9.8800,52312
2022-08-22,9.8700,9.8800,9.8700,9.8700,13573
2022-08-19,9.8700,9.8900,9.8700,9.8800,1495080
2022-08-18,9.8800,9.8800,9.8700,9.8700,126695
2022-08-17,9.8900,9.8900,9.8700,9.8900,93862
2022-08-16,9.8800,9.8900,9.8800,9.8900,14246
2022-08-15,9.8800,9.8900,9.8800,9.8850,787837
2022-08-12,9.8800,9.8900,9.8800,9.8800,153833
2022-08-11,9.8900,9.8900,9.8700,9.8800,149231
2022-08-10,9.8900,9.8900,9.8700,9.8800,149992
2022-08-09,9.8800,9.8850,9.8750,9.8800,113744
2022-08-08,9.8900,9.8900,9.8700,9.8800,80199
2022-08-05,9.8800,9.8900,9.8700,9.8900,81378
2022-08-04,9.9000,9.9000,9.8700,9.8700,1075280
2022-08-03,9.8800,9.8900,9.8700,9.8900,281455
2022-08-02,9.8700,9.8950,9.8700,9.8800,746107
2022-08-01,9.8700,9.8700,9.8600,9.8700,92889
2022-07-29,9.8600,9.8799,9.8600,9.8700,87499
2022-07-28,9.8600,9.8800,9.8600,9.8700,705302
2022-07-27,9.8700,9.8750,9.8600,9.8600,121908
2022-07-26,9.8600,9.8800,9.8600,9.8700,164656
2022-07-25,9.8800,9.8800,9.8600,9.8700,85606
2022-07-22,9.8700,9.8800,9.8600,9.8700,703973
2022-07-21,9.8500,9.8800,9.8500,9.8600,4512931
2022-07-20,9.8500,9.8600,9.8400,9.8500,190002
2022-07-19,9.8300,9.8450,9.8250,9.8400,156190
2022-07-18,9.8300,9.8500,9.8300,9.8500,2179013
2022-07-15,9.8300,9.8550,9.8300,9.8500,125605
2022-07-14,9.8500,9.8500,9.8300,9.8500,41047
2022-07-13,9.8300,9.8500,9.8300,9.8500,85422
2022-07-12,9.8300,9.8403,9.8300,9.8300,7746
2022-07-11,9.8300,9.8500,9.8300,9.8400,235522
2022-07-08,9.8300,9.8400,9.8300,9.8300,54552
2022-07-07,9.8500,9.8500,9.8200,9.8300,300192
2022-07-06,9.8200,9.8450,9.8200,9.8400,56154
2022-07-05,9.8500,9.8500,9.8200,9.8400,294441
2022-07-01,9.8400,9.8450,9.8300,9.8300,111590
2022-06-30,9.8300,9.8500,9.8300,9.8300,115371
2022-06-29,9.8400,9.8500,9.8400,9.8500,3578
2022-06-28,9.8300,9.8500,9.8300,9.8500,136674
2022-06-27,9.8200,9.8450,9.8200,9.8400,190467
2022-06-24,9.8100,9.8250,9.8100,9.8200,2786
2022-06-23,9.8200,9.8300,9.8200,9.8300,66391
2022-06-22,9.8100,9.8250,9.8100,9.8250,52139
2022-06-21,9.8300,9.8300,9.8100,9.8300,41400
2022-06-17,9.8400,9.8400,9.8100,9.8100,859368
2022-06-16,9.8200,9.8250,9.8100,9.8100,459250
2022-06-15,9.8200,9.8300,9.8200,9.8300,101397
2022-06-14,9.8300,9.8300,9.8200,9.8200,71520
2022-06-13,9.8300,9.8300,9.8200,9.8300,390855
2022-06-10,9.8300,9.8350,9.8200,9.8300,203441
2022-06-09,9.8300,9.8300,9.8200,9.8200,3218
2022-06-08,9.8200,9.8300,9.8100,9.8300,218966
2022-06-07,9.8100,9.8300,9.8100,9.8300,178430
2022-06-06,9.8500,9.8500,9.8150,9.8200,1049212
2022-06-03,9.8100,9.8200,9.8100,9.8100,14126
2022-06-02,9.8300,9.8300,9.8100,9.8100,128382
2022-06-01,9.8100,9.8300,9.8050,9.8200,227523
2022-05-31,9.8100,9.8100,9.8000,9.8100,652427
2022-05-27,9.8050,9.8100,9.8000,9.8100,805706
2022-05-26,9.8000,9.8100,9.7950,9.8100,683174
2022-05-25,9.8000,9.8050,9.8000,9.8000,856709
2022-05-24,9.8100,9.8100,9.8000,9.8000,118910
2022-05-23,9.7900,9.8000,9.7900,9.7900,61798
2022-05-20,9.7900,9.7950,9.7900,9.7900,50979
2022-05-19,9.8000,9.8000,9.7900,9.7900,22681
2022-05-18,9.8200,9.8200,9.7900,9.8100,160881
2022-05-17,9.8000,9.8200,9.7900,9.8200,2195410
2022-05-16,9.7900,9.8099,9.7900,9.7900,347395
2022-05-13,9.7900,9.7950,9.7800,9.7900,265012
2022-05-12,9.8000,9.8000,9.7800,9.7800,1283243
2022-05-11,9.8100,9.8200,9.7900,9.7900,113848
2022-05-10,9.8200,9.8350,9.8000,9.8000,102785
2022-05-09,9.8200,9.8350,9.8100,9.8200,60325
2022-05-06,9.8300,9.8350,9.8100,9.8100,1712191
2022-05-05,9.8300,9.8400,9.8300,9.8300,171748
2022-05-04,9.8400,9.8400,9.8200,9.8400,28627
2022-05-03,9.8700,9.8700,9.8200,9.8300,93614
2022-05-02,9.8300,9.8700,9.8200,9.8700,132130
2022-04-29,9.8400,9.8600,9.8200,9.8200,148345
2022-04-28,9.8400,9.8550,9.8400,9.8450,884
2022-04-27,9.8500,9.8500,9.8400,9.8400,874034
2022-04-26,9.8600,9.8600,9.8400,9.8400,109683
2022-04-25,9.8400,9.8500,9.8300,9.8500,117403
2022-04-22,9.8300,9.8500,9.8300,9.8300,63960
2022-04-21,9.8400,9.8500,9.8400,9.8400,90388
2022-04-20,9.8300,9.8500,9.8300,9.8500,404275
2022-04-19,9.8300,9.8400,9.8250,9.8400,11147
2022-04-18,9.8400,9.8450,9.8200,9.8200,60905
2022-04-14,9.8700,9.8700,9.8200,9.8200,14552
2022-04-13,9.8700,9.8700,9.8200,9.8350,18188
2022-04-12,9.8700,9.8700,9.8100,9.8100,18325
2022-04-11,9.8300,9.8300,9.8100,9.8200,9571
2022-04-08,9.8000,9.8300,9.8000,9.8300,186747
2022-04-07,9.8221,9.8221,9.8100,9.8100,42526
2022-04-06,9.8400,9.8500,9.8000,9.8200,1039002
2022-04-05,9.7900,9.8500,9.7900,9.8200,578010
2022-04-04,9.8500,9.8500,9.8000,9.8100,18890
2022-04-01,9.8200,9.8200,9.7900,9.8000,250450
2022-03-31,9.7600,9.8100,9.7600,9.8100,71528
2022-03-30,9.7700,9.8050,9.7700,9.8000,315094
2022-03-29,9.7900,9.7900,9.7700,9.7800,200607
2022-03-28,9.7800,9.7850,9.7700,9.7800,13209
2022-03-25,9.7800,9.7800,9.7800,9.7800,3176
2022-03-24,9.7900,9.8000,9.7650,9.7900,526327
2022-03-23,9.7600,9.7800,9.7600,9.7800,2017339
2022-03-22,9.7600,9.8200,9.7550,9.7700,558167
2022-03-21,9.7700,9.7700,9.7500,9.7600,263038
2022-03-18,9.7500,9.7750,9.7500,9.7700,37062
2022-03-17,9.7500,9.7650,9.7500,9.7600,31136
2022-03-16,9.7600,9.7700,9.7600,9.7700,199632
2022-03-15,9.7600,9.7700,9.7500,9.7600,529367
2022-03-14,9.7600,9.7750,9.7500,9.7500,1779914
2022-03-11,9.7543,9.7600,9.7500,9.7500,34090
2022-03-10,9.7400,9.7600,9.7400,9.7500,170474
2022-03-09,9.7600,9.7600,9.7500,9.7500,111334
2022-03-08,9.7500,9.7600,9.7500,9.7500,100215
2022-03-07,9.7600,9.7700,9.7600,9.7600,670721
2022-03-04,9.7600,9.7700,9.7500,9.7700,74080
2022-03-03,9.7600,9.7700,9.7500,9.7600,165755
2022-03-02,9.7500,9.7550,9.7500,9.7500,710
2022-03-01,9.7600,9.7600,9.7500,9.7500,233485
2022-02-28,9.7500,9.7600,9.7500,9.7500,87021
2022-02-25,9.7500,9.7600,9.7300,9.7600,99883
2022-02-24,9.7300,9.7600,9.7300,9.7500,60132
2022-02-23,9.7400,9.7500,9.7250,9.7400,364891
2022-02-22,9.7400,9.7457,9.7300,9.7400,27055
2022-02-18,9.7500,9.7500,9.7350,9.7450,62675
2022-02-17,9.7300,9.7600,9.7300,9.7500,2778016
2022-02-16,9.7700,9.7700,9.7400,9.7400,89779
2022-02-15,9.7450,9.7600,9.7400,9.7500,88047
2022-02-14,9.7000,9.7600,9.7000,9.7400,18608
2022-02-11,9.7500,9.7600,9.7300,9.7550,129164
2022-02-10,9.7400,9.7700,9.7400,9.7500,48473
2022-02-09,9.7600,9.7600,9.7300,9.7500,39682
2022-02-08,9.7500,9.7601,9.7400,9.7600,17505
2022-02-07,9.7500,9.7600,9.7400,9.7600,41363
2022-02-04,9.7700,9.7700,9.7225,9.7500,49771
2022-02-03,9.7600,9.7700,9.7400,9.7600,36936
2022-02-02,9.7300,9.7700,9.7300,9.7700,92334
2022-02-01,9.7100,9.7500,9.7100,9.7400,49625
2022-01-31,9.7100,9.7300,9.7100,9.7200,34893
2022-01-28,9.7000,9.7200,9.7000,9.7200,32932
2022-01-27,9.7200,9.7200,9.7000,9.7150,2597988
2022-01-26,9.7111,9.7300,9.7100,9.7100,155088
2022-01-25,9.7000,9.7300,9.7000,9.7200,771480
2022-01-24,9.7200,9.7400,9.7000,9.7000,143194
2022-01-21,9.7400,9.7400,9.7200,9.7400,1164821
2022-01-20,9.7300,9.7500,9.7300,9.7400,113445
2022-01-19,9.7300,9.7400,9.7300,9.7400,232058
2022-01-18,9.7300,9.7500,9.7000,9.7300,215143
2022-01-14,9.7600,9.7600,9.7400,9.7400,211170
2022-01-13,9.7800,9.7800,9.7600,9.7600,33525
2022-01-12,9.7600,9.7700,9.7600,9.7600,9311
2022-01-11,9.7600,9.7700,9.7500,9.7700,9403
2022-01-10,9.7900,9.7900,9.7500,9.7700,16220
2022-01-07,9.7500,9.7800,9.7500,9.7700,216378
2022-01-06,9.7900,9.7900,9.7500,9.7600,38331
2022-01-05,9.7500,9.7900,9.7500,9.7900,97970
2022-01-04,9.7700,9.7800,9.7450,9.7800,1523384
2022-01-03,9.7500,9.7700,9.7500,9.7600,205721
2021-12-31,9.7400,9.7500,9.7300,9.7400,60870
2021-12-30,9.7400,9.7500,9.7300,9.7400,60427
2021-12-29,9.7400,9.7599,9.7400,9.7400,37127
2021-12-28,9.7400,9.7500,9.7400,9.7400,8505
2021-12-27,9.7700,9.7700,9.7400,9.7400,8407
2021-12-23,9.7500,9.7700,9.7400,9.7500,40324
2021-12-22,9.7600,9.7600,9.7500,9.7500,11778
2021-12-21,9.7500,9.7800,9.7500,9.7600,41827
2021-12-20,9.7500,9.7700,9.7500,9.7600,215512
2021-12-17,9.7600,9.7800,9.7600,9.7800,54124
2021-12-16,9.7900,9.7900,9.7650,9.7700,150201
2021-12-15,9.7900,9.7900,9.7700,9.7800,57096
2021-12-14,9.8000,9.8000,9.7800,9.7900,2102734
2021-12-13,9.7900,9.8001,9.7800,9.8000,800299
2021-12-10,9.7900,9.8000,9.7800,9.7900,10091
2021-12-09,9.8200,9.8200,9.7800,9.7800,39384
2021-12-08,9.7900,9.8100,9.7900,9.8100,33160
2021-12-07,9.7900,9.8100,9.7821,9.7900,81564
2021-12-06,9.7900,9.8000,9.7900,9.7900,22004
2021-12-03,9.7800,9.8000,9.7800,9.7900,74231
2021-12-02,9.8000,9.8000,9.7700,9.7800,19806
2021-12-01,9.7800,9.7900,9.7500,9.7800,467477
2021-11-30,9.7800,9.8000,9.7800,9.7900,102903
2021-11-29,9.8000,9.8200,9.7800,9.7800,286264
2021-11-26,9.7900,9.8201,9.7800,9.8000,278790
2021-11-24,9.8400,9.8400,9.8100,9.8175,188898
2021-11-23,9.8400,9.8400,9.7900,9.8300,386280
2021-11-22,9.8200,9.8500,9.8100,9.8500,259365
2021-11-19,9.8400,9.8400,9.7900,9.8200,993421
2021-11-18,9.8200,9.8500,9.8100,9.8200,528638
2021-11-17,9.8200,9.8400,9.8000,9.8150,94094
2021-11-16,9.8400,9.8500,9.8100,9.8300,273173
2021-11-15,9.8500,9.8500,9.8200,9.8400,103627
2021-11-12,9.8500,9.8500,9.8100,9.8500,443392
2021-11-11,9.8500,9.8500,9.8200,9.8400,614568
2021-11-10,9.8100,9.8600,9.7800,9.8500,432475
2021-11-09,9.8200,9.8300,9.7800,9.8100,663311
2021-11-08,9.8200,9.8200,9.8000,9.8100,210897
2021-11-05,9.8300,9.8300,9.7900,9.8200,63777
2021-11-04,9.8180,9.8200,9.8000,9.8100,30710
2021-11-03,9.8200,9.8300,9.7900,9.8100,436251
2021-11-02,9.8400,9.8400,9.8100,9.8300,62726
2021-11-01,9.8400,9.8400,9.8000,9.8300,618974
2021-10-29,9.8300,9.8400,9.8100,9.8400,138907
2021-10-28,9.8500,9.8500,9.7900,9.8200,52630
2021-10-27,9.8300,9.8300,9.7800,9.8300,160158
2021-10-26,9.8500,9.8500,9.8100,9.8400,260641
2021-10-25,9.8400,9.8500,9.8200,9.8400,869599
2021-10-22,9.8400,9.8400,9.8100,9.8300,322608
2021-10-21,9.8100,9.8400,9.8100,9.8300,512199
2021-10-20,9.7700,9.7700,9.7500,9.7600,64905
2021-10-19,9.7500,9.7800,9.7500,9.7600,50015
2021-10-18,9.7600,9.7700,9.7500,9.7600,80725
2021-10-15,9.7600,9.7800,9.7400,9.7400,98896
2021-10-14,9.7700,9.7700,9.7400,9.7600,89792
2021-10-13,9.7600,9.7700,9.7500,9.7600,623729
2021-10-12,9.7800,9.7800,9.7600,9.7700,320598
2021-10-11,9.7700,9.7800,9.7500,9.7800,9485
2021-10-08,9.7600,9.7800,9.7500,9.7700,185353
2021-10-07,9.7700,9.7800,9.7500,9.7600,7225
2021-10-06,9.7700,9.7700,9.7500,9.7700,96955
2021-10-05,9.7600,9.7800,9.7500,9.7700,298310
2021-10-04,9.7700,9.7700,9.7500,9.7700,1407360
2021-10-01,9.7400,9.7700,9.7400,9.7600,14465
2021-09-30,9.7400,9.7600,9.7400,9.7400,52942
2021-09-29,9.7700,9.7700,9.7200,9.7400,110763
2021-09-28,9.7500,9.7600,9.7100,9.7500,639390
2021-09-27,9.7300,9.7600,9.7300,9.7600,22839
2021-09-24,9.7400,9.7500,9.7300,9.7500,38502
2021-09-23,9.7700,9.7700,9.7389,9.7500,4831
2021-09-22,9.7100,9.7600,9.7100,9.7600,234238
2021-09-21,9.7200,9.7600,9.7200,9.7400,124631
2021-09-20,9.7200,9.7400,9.7000,9.7300,366388
2021-09-17,9.7400,9.7600,9.7200,9.7400,226758
2021-09-16,9.7500,9.7600,9.7300,9.7500,48946
2021-09-15,9.7700,9.7700,9.7500,9.7600,12472
2021-09-14,9.7800,9.7800,9.7500,9.7700,1644706
2021-09-13,9.7600,9.7900,9.7200,9.7800,563121
2021-09-10,9.7300,9.7900,9.7200,9.7600,2826388
2021-09-09,9.7100,9.7400,9.7100,9.7400,192508
2021-09-08,9.7000,9.7200,9.7000,9.7100,1375282
2021-09-07,9.7200,9.7300,9.7100,9.7200,994416
2021-09-03,9.7100,9.7300,9.7100,9.7200,132600
2021-09-02,9.7000,9.7200,9.6999,9.7000,86377
2021-09-01,9.7100,9.7100,9.6900,9.7000,1120095
2021-08-31,9.6800,9.7100,9.6700,9.7100,433242
2021-08-30,9.6800,9.7000,9.6600,9.6800,1083907
2021-08-27,9.7000,9.7000,9.6600,9.7000,243730
2021-08-26,9.7000,9.7000,9.6700,9.6800,59601
2021-08-25,9.6700,9.6900,9.6600,9.6900,152197
2021-08-24,9.6900,9.6900,9.6700,9.6700,10029
2021-08-23,9.6700,9.7000,9.6600,9.6900,190478
2021-08-20,9.6900,9.6900,9.6600,9.6700,57526
2021-08-19,9.6700,9.7100,9.6600,9.6700,68008
2021-08-18,9.7200,9.7200,9.7000,9.7100,38914
2021-08-17,9.7200,9.7200,9.6800,9.7200,147149
2021-08-16,9.7200,9.7300,9.6900,9.7200,170701
2021-08-13,9.7400,9.7400,9.6800,9.7100,31452
2021-08-12,9.7000,9.7400,9.6800,9.6900,61155
2021-08-11,9.6800,9.7200,9.6800,9.7100,29391
2021-08-10,9.7900,9.7900,9.6900,9.7000,28694
2021-08-09,9.7400,9.7700,9.7000,9.7200,32434
2021-08-06,9.7000,9.7800,9.6800,9.7700,96954
2021-08-05,9.7400,9.7500,9.6900,9.7100,47960
2021-08-04,9.7400,9.7600,9.7000,9.7200,164241
2021-08-03,9.7500,9.7600,9.7250,9.7400,58140
2021-08-02,9.7800,9.7800,9.7500,9.7500,11895
2021-07-30,9.7500,9.7800,9.7500,9.7800,21491
2021-07-29,9.7700,9.7800,9.7389,9.7500,65638
2021-07-28,9.7600,9.7600,9.7450,9.7500,6144
2021-07-27,9.7401,9.7600,9.7392,9.7500,19772
2021-07-26,9.7700,9.7700,9.7300,9.7500,319953
2021-07-23,9.7900,9.7900,9.7400,9.7600,18480
2021-07-22,9.7900,9.7900,9.7400,9.7600,9535
2021-07-21,9.7521,9.7700,9.7400,9.7600,18098
2021-07-20,9.7717,9.7717,9.7500,9.7500,2916
2021-07-19,9.7600,9.7700,9.7300,9.7700,291035
2021-07-16,9.7400,9.7900,9.7400,9.7600,7327
2021-07-15,9.7900,9.7900,9.7500,9.7700,74790
2021-07-14,9.8200,9.8200,9.7600,9.7600,12173
2021-07-13,9.8400,9.8400,9.7900,9.8100,284083
2021-07-12,9.8400,9.8400,9.8000,9.8000,111372
2021-07-09,9.7700,9.8192,9.7700,9.8000,134913
2021-07-08,9.7406,9.7900,9.7400,9.7700,76441
2021-07-07,9.7300,9.7500,9.7300,9.7500,39708
2021-07-06,9.7300,9.7600,9.7300,9.7500,46970
2021-07-02,9.7600,9.7600,9.7400,9.7500,72811
2021-07-01,9.7500,9.7700,9.7500,9.7500,65736
2021-06-30,9.7600,9.7900,9.7500,9.7500,19787
2021-06-29,9.7400,9.8100,9.7200,9.7700,64326
2021-06-28,9.8400,9.8600,9.7400,9.8000,763413
2021-06-25,9.8000,9.8700,9.7900,9.8700,1885999
2021-06-24,9.7600,9.7900,9.7600,9.7900,171960
2021-06-23,9.7800,9.7900,9.7600,9.7700,375882
2021-06-22,9.7500,9.7900,9.7500,9.7600,38595
2021-06-21,9.7900,9.7900,9.7600,9.7600,10720
2021-06-18,9.7661,9.7700,9.7500,9.7500,25931
2021-06-17,9.7600,9.7700,9.7500,9.7600,18156
2021-06-16,9.7900,9.8000,9.7600,9.7600,116703
2021-06-15,9.7900,9.8200,9.7800,9.8000,53269
2021-06-14,9.8100,9.8100,9.7780,9.7900,49574
2021-06-11,9.8200,9.8200,9.7900,9.8000,22105
2021-06-10,9.7900,9.8200,9.7700,9.7900,45514
2021-06-09,9.8100,9.8300,9.7784,9.7800,213965
2021-06-08,9.8000,9.8400,9.7700,9.8100,498391
2021-06-07,9.8100,9.8200,9.7700,9.7800,1878518
2021-06-04,9.8500,9.8500,9.7700,9.7700,53898
2021-06-03,9.8200,9.8500,9.8000,9.8500,183667
2021-06-02,9.8200,9.8600,9.7900,9.7900,673132
2021-06-01,9.7700,9.8600,9.7600,9.8200,1352518
2021-05-28,9.8300,9.8400,9.7700,9.7700,29623
2021-05-27,9.8300,9.8550,9.8100,9.8500,84283
2021-05-26,9.8000,9.8550,9.7800,9.8200,226684
2021-05-25,9.8000,9.8600,9.7900,9.8100,59401
2021-05-24,9.7600,9.8200,9.7600,9.8000,36569
2021-05-21,9.7900,9.7900,9.7800,9.7800,391915
2021-05-20,9.7800,9.8000,9.7700,9.7700,53478
2021-05-19,9.7800,9.8200,9.7500,9.7900,592239
2021-05-18,9.7600,9.7900,9.7500,9.7700,529774
2021-05-17,9.8200,9.8200,9.7600,9.7600,71506
2021-05-14,9.8200,9.8300,9.7600,9.8200,165515
2021-05-13,9.8200,9.8900,9.7900,9.7900,377625
2021-05-12,9.8400,9.8950,9.8300,9.8800,1527511
2021-05-11,9.8100,9.8600,9.7800,9.8400,594530
2021-05-10,9.8800,9.8800,9.8200,9.8600,76102
2021-05-07,9.8100,9.8600,9.8000,9.8250,95765
2021-05-06,9.8200,9.8600,9.8000,9.8100,340353
2021-05-05,9.8300,9.8500,9.8200,9.8300,22935
2021-05-04,9.8300,9.8494,9.8100,9.8300,406213
2021-05-03,9.8700,9.8700,9.8000,9.8100,2208217
2021-04-30,9.8100,9.8700,9.7500,9.8300,901485
2021-04-29,9.8100,9.8600,9.8045,9.8200,58547
2021-04-28,9.8400,9.8400,9.7900,9.8000,139764
2021-04-27,9.8395,9.8694,9.7911,9.8000,109521
